employee_id,gender_binary,Cad Count,Complaints Count Sus,Complaints Count,Highest Rank,Io Report Count,Dollars Earned (Gross),Certifications Count,Unit Count,Military Experience,Hours Worked,Max. Comp. Rate,Promotion Count,American Indian/Alaska Native,Asian,Black or African American,Hispanic or Latino,Nat Hawaiian/Oth Pac Islander,Two or More Races,Unknown,White,Last Pay Year,Year of Birth
16955,0,11823,0,0,4,1905,1087370.5,0,4,0,20303.5,75.345,0,0,0,0,0,0,0,0,1,2022,1968
18043,0,5877,4,6,8,882,1225669.29,0,10,0,21753,105.72,2,0,0,0,0,0,0,0,1,2022,1970
12767,0,7264,13,18,4,590,484771.06,0,4,0,11472.75,92.82,0,0,0,0,0,0,0,0,1,2018,1971
14410,1,4984,11,12,12,395,2022185.9,2,7,0,28540.25,99.1,2,0,0,1,0,0,0,0,0,2024,1972
17851,1,7431,86,89,4,906,291301.9,0,1,0,6400.88,75.345,0,0,0,0,0,0,0,0,1,2018,1967
13917,1,62,1,1,6,4,1216299.59,0,2,0,26332.28,74.25,0,0,0,0,0,0,0,0,1,2022,1963
13722,1,2065,1,1,8,211,2042933.14,4,5,0,35864.15,112.38,0,0,0,0,0,0,0,0,1,2024,1972
13498,0,5035,0,0,5,551,1312200.86,0,3,0,32113.75,99.9,1,0,1,0,0,0,0,0,0,2021,1967
16671,1,5241,3,4,12,592,1723581.14,4,5,0,26164.75,97.72,4,0,0,1,0,0,0,0,0,2024,1963
15011,0,5,3,9,5,1,1399371.52,0,4,0,25435.5,94.66,1,0,1,0,0,0,0,0,0,2022,1970
14599,0,14732,5,7,4,484,1805817.4,5,4,0,30089.25,97.72,0,0,0,0,0,0,0,0,1,2024,1972
15105,0,1110,0,0,6,62,1601596.89,4,5,0,27501.25,99.9,2,0,0,0,1,0,0,0,0,2024,1970
12880,0,627,3,3,4,41,1628966.6,0,2,1,27190,100.76,0,0,0,0,0,0,0,0,1,2023,1970
12775,0,6198,0,1,4,1535,1020346.6,0,6,0,20735.75,97.72,0,0,0,0,0,0,0,0,1,2022,1967
13879,0,14127,3,4,7,3319,1278372.28,2,4,0,25647.75,97.72,1,0,1,0,0,0,0,0,0,2024,1960
17339,0,149,25,25,20,6,2701545.79,3,1,0,28938,162.769,7,0,0,0,1,0,0,0,0,2024,1975
13871,0,5,1,1,6,3,1393847.7,3,5,0,29730,100.46,2,0,0,0,0,0,0,0,1,2024,1973
16966,0,764,2,7,4,53,1927730.23,5,2,0,34319.71,99.02,0,0,0,0,0,0,0,0,1,2024,1971
12984,0,6091,5,18,12,512,1808211.66,5,5,0,27927.3,94.06,4,0,0,0,0,0,0,0,1,2024,1968
14366,0,13551,2,2,8,945,1543481.32,3,3,0,25735,88.13,3,0,0,0,1,0,0,0,0,2024,1964
15575,0,4047,4,5,4,1185,876718.75,0,2,1,17024.92,97.72,0,0,0,0,0,0,0,0,1,2020,1974
16692,0,12213,1,2,4,1517,1053030.94,0,2,0,19739.75,73.89,0,0,0,0,0,0,0,0,1,2022,1973
13205,1,1754,2,2,6,60,1075365.38,0,5,0,21026.5,95.54,1,0,0,0,0,0,0,0,1,2022,1972
17425,1,1195,5,6,16,141,1934241.93,2,5,0,29054.5,136.261,6,0,0,0,0,0,0,0,1,2024,1972
15805,1,3995,1,7,8,491,993659.13,0,5,0,18047.75,97.72,3,0,0,0,0,0,0,0,1,2021,1965
16714,0,4062,0,1,8,1044,941895.44,0,6,0,17540,100.76,3,0,0,0,0,0,0,0,1,2020,1967
13380,1,1035,0,0,6,308,1217014.57,0,4,1,28831.26,72.945,0,0,0,0,0,0,0,1,0,2022,1961
16749,0,5448,1,2,6,952,1630878.61,5,4,0,47412.87,76.215,0,0,0,0,0,0,0,0,1,2024,1972
16283,0,7710,9,13,6,858,1120988.5,0,3,0,20568.25,97.72,0,0,0,0,0,0,0,0,1,2022,1972
14149,0,14462,11,14,4,863,1215303.78,0,3,0,25852.27,77.56,0,0,0,1,0,0,0,0,0,2024,1971
14671,1,5744,2,2,6,748,503198.72,0,3,1,10489,97.72,1,0,0,0,0,0,0,0,1,2017,1971
16741,1,476,0,1,6,301,1367161.35,4,4,0,25291.81,95.54,0,0,0,0,0,0,0,0,1,2024,1973
12974,0,754,3,3,6,91,1646777.8,2,2,0,31694.95,95.54,0,0,0,1,0,0,0,0,0,2024,1964
13895,0,11626,19,30,4,529,1723955,4,4,1,29198.5,77.56,0,0,0,0,1,0,0,0,0,2024,1966
14989,1,146,0,1,6,156,1631747.87,3,3,0,29484.89,75.61,0,0,0,0,0,0,0,0,1,2024,1974
17134,0,3622,0,2,6,377,1385405.91,2,2,0,27277.6,95.54,0,0,0,0,0,0,0,1,0,2024,1971
18228,0,116,1,3,7,108,840640.06,0,2,1,16640.25,95.54,1,1,0,0,0,0,0,0,0,2020,1952
13041,1,26,0,1,4,60,672148.76,0,2,0,13498.7,97.72,0,0,0,0,0,0,0,0,1,2018,1969
17680,0,2866,3,6,10,565,1560064.25,3,5,0,26298.74,95.54,4,0,0,0,1,0,0,0,0,2024,1971
14487,0,10246,6,7,4,1450,1451648.96,5,2,0,25659.45,76.59,0,0,0,0,0,0,0,1,0,2024,1967
17746,0,344,4,6,6,178,1723102.91,4,3,0,36369.3,95.54,0,0,0,0,0,0,0,0,1,2024,1967
13538,0,711,0,0,6,224,1778668.23,3,5,0,30606.28,99.9,2,0,0,0,0,0,0,0,1,2024,1974
13838,0,10542,5,26,7,1187,1146731.09,0,6,0,21438,76.47,1,0,0,0,0,0,0,0,1,2022,1962
18020,0,125,1,3,6,77,1272921.5,0,4,0,25436.3,95.54,0,0,0,0,0,0,0,0,1,2022,1965
14100,0,2148,0,0,4,948,942964.25,0,3,0,18177.01,73.29,0,0,0,0,0,0,0,0,1,2021,1969
13459,0,1332,1,1,4,36,1580030.08,4,2,0,26953,100.76,0,0,0,1,0,0,0,0,0,2024,1971
15368,0,879,2,8,13,255,2210702.11,4,6,1,40945.44,110.46,2,0,0,0,0,0,0,0,1,2024,1975
18173,0,3679,2,8,16,90,2352517.96,3,4,0,28205.75,119.512,1,0,0,0,0,0,0,0,1,2024,1970
16791,1,7793,5,5,4,1059,750955.42,0,2,0,14591.7,88.7,0,0,0,0,0,0,0,0,1,2019,1959
16396,1,2033,2,4,12,713,1127941.71,0,6,0,22764,112.38,4,0,0,0,0,0,0,0,1,2023,1970
15864,0,12499,2,3,4,1431,1953039.24,4,2,0,31964.65,76.59,0,0,0,0,0,1,0,0,0,2024,1961
15947,0,2809,2,4,8,225,2063199.01,5,2,1,32985.61,101.595,0,0,0,0,0,0,0,0,1,2024,1975
16971,1,6776,0,0,4,1349,1375446.28,4,1,1,25259,91.58,0,0,0,0,0,0,1,0,0,2024,1972
17156,0,2920,1,2,4,435,860798.33,0,3,0,16304,97.72,0,0,0,0,1,0,0,0,0,2019,1964
16976,0,11031,6,11,8,681,945040.17,0,3,0,22756.05,75.345,3,0,0,0,0,0,0,0,1,2023,1969
16318,0,8039,4,4,5,1229,1408629.41,1,3,0,25147.25,97.72,1,0,0,0,0,0,0,0,1,2024,1970
15923,0,796,3,4,10,9,1930348.32,3,6,0,32321.38,99.02,5,0,0,0,0,0,0,0,1,2024,1975
13340,0,1804,2,5,12,86,1199934.77,0,4,0,18785.25,112.38,2,0,0,0,0,0,0,0,1,2021,1968
13194,0,2057,2,6,12,11,2026759.28,6,7,0,32574.25,99.02,4,0,0,0,0,0,0,0,1,2024,1970
13855,1,283,7,9,10,36,1407961.74,0,4,0,28063.55,95.54,1,0,0,0,0,0,0,0,1,2023,1957
16241,0,655,1,1,9,56,1544919.76,1,4,0,28920.75,97.72,2,0,1,0,0,0,0,0,0,2024,1971
16718,1,381,1,1,6,285,1533284,4,3,0,27528.5,95.54,0,0,0,0,0,0,0,0,1,2024,1973
15599,0,8287,0,1,4,995,678448.38,0,3,0,13723.39,73.29,0,0,0,0,0,0,0,0,1,2019,1971
15834,1,14176,5,6,5,5477,1063647.62,0,6,0,20950.25,88.7,1,0,0,0,0,0,0,0,1,2022,1967
15910,0,1864,4,5,12,32,1888800.99,3,7,1,29666.92,94.86,3,0,0,0,0,0,0,0,1,2024,1973
12901,0,1729,0,3,6,202,1998909.52,5,2,0,32706.16,99.9,1,0,0,0,0,0,0,0,1,2024,1975
15474,1,177,1,1,6,6,619391.94,0,4,1,17112.5,95.54,1,0,0,0,0,0,0,0,1,2017,1963
16469,0,2000,2,2,4,161,1564127.46,0,4,1,27564.75,97.72,0,0,0,1,0,0,0,0,0,2024,1969
14459,0,168,1,1,7,1,1905725.65,3,2,0,36154.46,96.1,2,0,0,0,0,0,0,0,1,2024,1971
16734,0,6703,1,2,4,492,769329.47,0,2,0,15154.75,97.72,0,0,0,0,0,0,0,0,1,2019,1968
17937,1,446,0,0,6,75,1451409.4,5,8,1,26257.59,99.9,1,0,0,0,0,0,0,0,1,2024,1969
15595,0,10932,12,24,4,1582,878599.85,0,4,0,17989,73.29,0,0,0,0,0,0,0,0,1,2020,1967
13078,0,1373,0,0,4,230,1505386.82,4,2,0,27122.5,94.66,0,0,0,0,0,0,0,0,1,2024,1968
16369,0,5515,2,5,11,835,1679714.87,4,5,0,27743.65,100.46,3,0,0,0,0,0,0,0,1,2024,1976
13130,0,3992,1,4,4,711,1565867.07,0,5,0,28062.75,97.72,0,0,0,0,0,0,0,0,1,2023,1969
15138,0,898,3,14,4,12,1887252.12,6,1,0,37805.89,99.02,0,0,0,0,0,0,0,0,1,2024,1975
17401,0,8894,1,1,11,850,1721126.37,4,3,0,26859.5,92.805,3,0,0,0,0,0,0,0,1,2024,1976
13834,0,13905,2,4,4,2254,1589866.85,3,2,0,27339.75,78.87,0,0,0,0,0,0,0,0,1,2024,1974
16537,0,3618,3,3,4,703,927442.98,0,3,1,21892.5,93.36,0,0,0,0,0,0,0,0,1,2022,1963
12905,0,1043,1,1,9,177,1652202.28,4,4,1,28989.75,75.61,1,0,0,1,0,0,0,0,0,2024,1972
14492,0,1444,1,2,4,152,1598841.86,2,1,1,27777.93,99.9,0,0,0,0,0,0,0,0,1,2024,1971
15650,0,11091,3,4,7,578,1618790.64,4,4,0,29078,97.72,3,0,0,0,0,0,0,0,1,2024,1972
17014,1,3951,5,6,10,631,1558324.6,4,5,0,29639.75,95.68,1,0,0,0,0,0,0,0,1,2024,1960
16852,0,4309,9,13,8,172,1616409.32,0,2,0,25534,112.38,0,0,0,0,0,0,0,0,1,2023,1970
13282,1,11017,6,12,4,1660,1606775.43,5,4,0,28237.25,76.59,0,0,0,0,0,0,0,0,1,2024,1970
12967,0,489,0,0,9,83,801285.56,0,2,0,15705.65,95.54,1,0,0,0,1,0,0,0,0,2019,1959
15820,0,610,1,3,4,5,1077319.7,0,3,0,20005.25,99.02,0,0,0,0,0,0,0,0,1,2021,1971
14846,0,3453,1,1,8,150,1404413.42,0,4,0,25897.5,97.72,2,0,0,0,0,0,0,1,0,2024,1971
17296,0,7396,6,10,4,902,475614.01,0,2,0,9660,97.72,0,1,0,0,0,0,0,0,0,2017,1969
13190,0,3030,5,6,10,211,390992.85,0,3,0,7520.5,109.9,0,0,0,0,0,0,0,0,1,2016,1970
13844,0,20295,6,8,4,2739,1598681.26,2,4,0,27573.5,97.72,0,0,0,0,0,1,0,0,0,2024,1958
12812,0,8567,3,4,4,776,2194569.96,4,4,0,35281.75,97.72,0,0,1,0,0,0,0,0,0,2024,1974
17905,0,2276,1,1,4,276,1295387.16,0,2,0,24210.9,99.02,0,0,0,0,0,0,0,0,1,2022,1969
14588,0,927,1,1,4,174,1063358.35,0,2,0,20259.5,97.72,0,0,0,0,0,0,0,1,0,2022,1968
15934,0,5386,3,8,11,642,2039450.94,2,5,0,48085.36,112.38,2,0,0,0,0,0,0,0,1,2024,1968
16321,0,3210,11,12,4,31,844955.75,0,3,0,16220.5,74.265,0,0,0,0,0,0,0,0,1,2020,1966
17757,0,279,1,1,6,133,1225645.43,3,3,1,25973.5,74.925,2,0,0,0,1,0,0,0,0,2024,1972
16518,0,245,2,3,12,91,2146111.89,3,6,0,36980.7,110.46,2,0,0,0,0,0,0,0,1,2024,1978
13461,1,5442,1,14,4,536,603036.61,0,6,0,13240,53.5,3,0,0,0,0,0,0,0,1,2021,1982
12887,0,858,0,0,4,146,1200116.91,0,2,0,22995.45,94.66,0,0,0,0,0,0,0,0,1,2022,1969
17241,0,4856,0,0,6,424,1802929,0,5,0,40130.06,99.02,1,0,0,0,0,0,0,0,1,2023,1970
13799,0,152,1,3,6,153,1144700.73,0,3,0,21637,73.95,0,0,0,0,0,0,0,1,0,2022,1962
14821,0,451,1,1,6,8,1137094.07,0,2,0,21365.5,95.54,0,0,0,0,0,0,0,0,1,2022,1969
14633,0,46,6,8,12,1,1308334.96,0,5,0,24393.51,108.9,3,0,0,0,0,0,0,0,1,2021,1963
15437,0,971,2,2,6,133,1035780.55,0,6,0,19951.5,71.655,0,0,0,0,1,0,0,0,0,2022,1963
16667,0,12771,7,9,4,2017,1667279.16,1,5,0,28814.59,97.72,0,0,0,0,0,0,0,0,1,2024,1971
17358,0,2144,0,1,11,237,1862740.8,3,2,0,26856.9,101.595,1,0,0,0,0,0,0,0,1,2024,1972
18016,0,1137,0,0,14,0,1908404.26,2,3,0,24565.75,124.184,1,0,0,0,1,0,0,0,0,2024,1965
13894,0,26206,10,16,4,3094,1471362.18,4,3,0,26130,88.7,0,0,0,0,0,0,0,0,1,2024,1969
13160,1,990,1,3,10,14,1533428.88,4,5,1,27800.7,95.54,4,0,0,0,0,0,0,0,1,2024,1972
12854,0,678,41,42,4,40,1558132.01,5,2,0,27522.55,94.66,0,0,0,0,0,0,0,0,1,2024,1973
13788,1,7710,5,5,8,898,1469126.61,2,4,0,28396,93.82,2,0,0,0,0,0,0,0,1,2024,1973
13369,0,988,4,5,6,156,1459633.28,5,1,0,25971.5,95.54,0,0,0,0,0,0,0,0,1,2024,1972
12719,0,8710,1,4,10,894,1669157.99,5,7,0,27698.05,97.72,4,0,0,0,0,0,0,0,1,2024,1973
14283,0,15753,4,8,4,2999,1325976.93,0,3,0,24486.5,93.36,0,0,1,0,0,0,0,0,0,2024,1964
16010,1,5307,4,6,5,1525,872605.83,0,4,0,20088.5,75.345,1,0,0,0,0,0,0,0,1,2022,1976
14765,0,1057,1,4,6,128,1510589.14,3,1,0,26459,99.9,1,0,0,0,0,0,0,0,1,2024,1973
17260,0,7207,3,6,4,1066,1390594.86,0,4,0,24369,93.36,0,0,0,0,1,0,0,0,0,2022,1972
12742,0,8465,3,6,8,849,1603332.03,2,5,0,26559.75,97.72,2,0,1,0,0,0,0,0,0,2024,1973
17830,0,7376,11,18,12,573,1682315.63,5,7,0,28419.75,93.36,4,0,0,0,0,0,0,1,0,2024,1973
13943,0,10518,1,7,4,765,1198958.73,0,3,0,25220.17,73.29,0,0,0,0,1,0,0,0,0,2024,1966
15784,1,1699,0,0,4,1170,1307081.31,4,1,0,24130.25,75.28,0,0,0,0,0,0,0,0,1,2024,1962
14590,0,6638,5,6,8,879,1302523.94,0,2,0,22627.75,93.36,3,0,0,0,0,0,0,0,1,2022,1968
14579,0,11758,22,30,8,2354,1572321.44,4,6,0,27689.25,79.29,4,0,0,0,0,0,0,1,0,2024,1971
14369,0,17814,9,12,4,2751,1429474.09,4,10,0,25994.75,97.72,0,0,0,0,0,0,0,0,1,2024,1971
18094,0,8,0,0,4,9,1222877.03,0,3,0,22264.5,97.72,0,0,0,1,0,0,0,0,0,2022,1961
